,WellName,Date,Concentration
0,MW-112d,2021-12-31,0.2003386572396508
1,MW-112d,2022-12-31,1.4998824107624569
2,MW-112d,2023-12-31,0.1996951121643619
3,MW-112d,2024-12-31,1.9903808516325388
4,MW-112d,2025-12-31,0.2032424854896782
5,MW-61d,2021-12-31,11.291028369792116
6,MW-61d,2022-12-31,14.642005076486658
7,MW-61d,2023-12-31,18.98749216089413
8,MW-61d,2024-12-31,24.6226426419546
9,MW-61d,2025-12-31,31.930205713109363
10,MW-42s,2021-12-31,0.5
11,MW-42s,2022-12-31,0.5
12,MW-42s,2023-12-31,0.5
13,MW-42s,2024-12-31,0.5
14,MW-42s,2025-12-31,0.5
15,SW-1M,2011-12-31,0.5
16,SW-1M,2012-12-31,0.5
17,SW-1M,2013-12-31,0.5
18,SW-1M,2014-12-31,0.5
19,SW-1M,2015-12-31,0.5
20,593 Allison,2016-12-31,1004.0
21,593 Allison,2017-12-31,793.0
22,593 Allison,2018-12-31,1028.0
23,593 Allison,2019-12-31,656.0
24,593 Allison,2020-12-31,523.0
25,AMW-1,2021-12-31,240.0
26,AMW-1,2022-12-31,230.0
27,AMW-1,2023-12-31,220.0
28,AMW-1,2024-12-31,210.0
29,AMW-1,2025-12-31,200.0
30,MW-84s,2021-12-31,202.22438908810727
31,MW-84s,2022-12-31,347.0201715006229
32,MW-84s,2023-12-31,507.3873472375466
33,MW-84s,2024-12-31,683.368577650452
34,MW-84s,2025-12-31,874.9212013877658
35,MW-131s,2021-12-31,0.5
36,MW-131s,2022-12-31,0.5
37,MW-131s,2023-12-31,0.5
38,MW-131s,2024-12-31,0.5
39,MW-131s,2025-12-31,0.5
40,MW-82d,2017-12-31,0.6771301239610078
41,MW-82d,2018-12-31,1.068278748726755
42,MW-82d,2019-12-31,0.778877876200483
43,MW-82d,2020-12-31,0.8338096506676497
44,MW-82d,2021-12-31,1.9387967174803105
45,2950 Valley,2013-12-31,0.5
46,2950 Valley,2014-12-31,0.5
47,2950 Valley,2015-12-31,0.5
48,2950 Valley,2016-12-31,0.5
49,2950 Valley,2017-12-31,0.5
50,MW-BE-1s,2021-12-31,863.99482649627
51,MW-BE-1s,2022-12-31,955.1959105169104
52,MW-BE-1s,2023-12-31,980.0
53,MW-BE-1s,2024-12-31,980.0
54,MW-BE-1s,2025-12-31,980.0
55,MW-62d,2021-12-31,0.5
56,MW-62d,2022-12-31,0.5
57,MW-62d,2023-12-31,0.5
58,MW-62d,2024-12-31,0.5
59,MW-62d,2025-12-31,0.5
60,2652 Dexter Rd,2012-12-31,8.676364751837701
61,2652 Dexter Rd,2013-12-31,3.3165670036585446
62,2652 Dexter Rd,2014-12-31,3.8816339307185697
63,2652 Dexter Rd,2015-12-31,1.6735210915152297
64,2652 Dexter Rd,2016-12-31,3.299246950103559
65,MW-87s,2018-12-31,45.494023743794514
66,MW-87s,2019-12-31,50.30685200079459
67,MW-87s,2020-12-31,60.0818002901721
68,MW-87s,2021-12-31,236.7162758296215
69,MW-87s,2022-12-31,356.99091315186405
70,MW-134d,2021-12-31,6.378898286929916
71,MW-134d,2022-12-31,6.847744256412876
72,MW-134d,2023-12-31,7.119763492802762
73,MW-134d,2024-12-31,7.412582401661883
74,MW-134d,2025-12-31,7.669657238305285
75,IW-2,2021-12-31,1611.9077769837766
76,IW-2,2022-12-31,1813.2588376870583
77,IW-2,2023-12-31,330.4709611164533
78,IW-2,2024-12-31,419.3414000258824
79,IW-2,2025-12-31,429.5392309428894
80,MW-41s,2021-12-31,18.47323324068266
81,MW-41s,2022-12-31,18.518778374035797
82,MW-41s,2023-12-31,18.83508012322573
83,MW-41s,2024-12-31,18.985325175559808
84,MW-41s,2025-12-31,19.00553806382821
85,SW-2M,2011-12-31,0.5
86,SW-2M,2012-12-31,0.5
87,SW-2M,2013-12-31,0.5
88,SW-2M,2014-12-31,0.5
89,SW-2M,2015-12-31,0.5
90,4470 Jackson Rd,2021-12-31,0.5
91,4470 Jackson Rd,2022-12-31,0.5
92,4470 Jackson Rd,2023-12-31,0.5
93,4470 Jackson Rd,2024-12-31,0.5
94,4470 Jackson Rd,2025-12-31,0.5
95,MW-47d,2016-12-31,0.5
96,MW-47d,2017-12-31,0.5
97,MW-47d,2018-12-31,0.5
98,MW-47d,2019-12-31,0.5
99,MW-47d,2020-12-31,0.5
100,MW-107,2021-12-31,748.0
101,MW-107,2022-12-31,748.0
102,MW-107,2023-12-31,748.0
103,MW-107,2024-12-31,748.0
104,MW-107,2025-12-31,748.0
105,TW-4,2021-12-31,0.0
106,TW-4,2022-12-31,0.0
107,TW-4,2023-12-31,0.0
108,TW-4,2024-12-31,0.0
109,TW-4,2025-12-31,0.0
110,MW-53i,2021-12-31,30.376324563379875
111,MW-53i,2022-12-31,28.381127707828817
112,MW-53i,2023-12-31,26.38675346762637
113,MW-53i,2024-12-31,26.0
114,MW-53i,2025-12-31,26.0
115,TW-3,2021-12-31,37.59391072092526
116,TW-3,2022-12-31,32.18782144185052
117,TW-3,2023-12-31,26.781732162775768
118,TW-3,2024-12-31,21.375642883701023
119,TW-3,2025-12-31,15.969553604626284
120,4141 Jackson Rd,2021-12-31,1.6979000962016573
121,4141 Jackson Rd,2022-12-31,1.5
122,4141 Jackson Rd,2023-12-31,1.5
123,4141 Jackson Rd,2024-12-31,1.5
124,4141 Jackson Rd,2025-12-31,1.5
125,MW-100,2021-12-31,2215.3748402328624
126,MW-100,2022-12-31,2260.66298443304
127,MW-100,2023-12-31,2305.960677302833
128,MW-100,2024-12-31,2351.26750251898
129,MW-100,2025-12-31,2396.583078628987
130,SW-COMB,2014-12-31,403.00000000000006
131,SW-COMB,2015-12-31,403.00000000000006
132,SW-COMB,2016-12-31,403.00000000000006
133,SW-COMB,2017-12-31,403.00000000000006
134,SW-COMB,2018-12-31,403.00000000000006
135,MW-9d,2011-12-31,0.4787909375484361
136,MW-9d,2012-12-31,1.1513380244292697
137,MW-9d,2013-12-31,2.2112658293842333
138,MW-9d,2014-12-31,1.446885418029259
139,MW-9d,2015-12-31,1.065010350823277
140,MW-106s,2021-12-31,200.0
141,MW-106s,2022-12-31,200.0
142,MW-106s,2023-12-31,200.0
143,MW-106s,2024-12-31,200.0
144,MW-106s,2025-12-31,200.0
145,MW-129s,2021-12-31,1.7986775554878882
146,MW-129s,2022-12-31,1.7234765300906203
147,MW-129s,2023-12-31,1.6507356993419229
148,MW-129s,2024-12-31,1.5801850048317765
149,MW-129s,2025-12-31,1.5121319431894849
150,MW-15d,2021-12-31,0.509282792196726
151,MW-15d,2022-12-31,0.5095080023502556
152,MW-15d,2023-12-31,0.5097961631212176
153,MW-15d,2024-12-31,0.5101275604104325
154,MW-15d,2025-12-31,2.8866426953421183
155,MW-KZ-1,2012-12-31,0.5
156,MW-KZ-1,2013-12-31,0.5
157,MW-KZ-1,2014-12-31,0.5
158,MW-KZ-1,2015-12-31,0.5
159,MW-KZ-1,2016-12-31,0.5
160,MW-76i,2021-12-31,89.0
161,MW-76i,2022-12-31,90.0
162,MW-76i,2023-12-31,91.0
163,MW-76i,2024-12-31,92.0
164,MW-76i,2025-12-31,93.0
165,MW-60,2021-12-31,3.1232623072922405
166,MW-60,2022-12-31,3.0483648250476403
167,MW-60,2023-12-31,2.9752634240458757
168,MW-60,2024-12-31,2.903915033308666
169,MW-60,2025-12-31,2.834277614722577
170,MW-56d,2021-12-31,0.5000000000000002
171,MW-56d,2022-12-31,0.5000000000000002
172,MW-56d,2023-12-31,0.5000000000000002
173,MW-56d,2024-12-31,0.5000000000000002
174,MW-56d,2025-12-31,0.5000000000000002
175,Bethlehem Cemetery,2021-12-31,0.5
176,Bethlehem Cemetery,2022-12-31,0.5
177,Bethlehem Cemetery,2023-12-31,0.5
178,Bethlehem Cemetery,2024-12-31,0.5
179,Bethlehem Cemetery,2025-12-31,0.5
180,TW-13,2011-12-31,587.5116346667834
181,TW-13,2012-12-31,587.5116346667834
182,TW-13,2013-12-31,587.5116346667834
183,TW-13,2014-12-31,587.5116346667834
184,TW-13,2015-12-31,587.5116346667834
185,MW-67,2016-12-31,0.5
186,MW-67,2017-12-31,0.5
187,MW-67,2018-12-31,0.5
188,MW-67,2019-12-31,0.5
189,MW-67,2020-12-31,0.5
190,MW-123s,2021-12-31,0.500022491086797
191,MW-123s,2022-12-31,0.5000339092015071
192,MW-123s,2023-12-31,0.5000440665262111
193,MW-123s,2024-12-31,0.5000535220240305
194,MW-123s,2025-12-31,0.5000598336584576
195,MW-93,2021-12-31,0.7573106064299608
196,MW-93,2022-12-31,0.5
197,MW-93,2023-12-31,0.5
198,MW-93,2024-12-31,0.5
199,MW-93,2025-12-31,0.5
200,PMW-1,2021-12-31,140.00000000000003
201,PMW-1,2022-12-31,140.00000000000003
202,PMW-1,2023-12-31,140.00000000000003
203,PMW-1,2024-12-31,140.00000000000003
204,PMW-1,2025-12-31,140.00000000000003
205,TW-14,2021-12-31,0.0
206,TW-14,2022-12-31,0.0
207,TW-14,2023-12-31,0.0
208,TW-14,2024-12-31,0.0
209,TW-14,2025-12-31,0.0
210,MOW-1,2021-12-31,620.0
211,MOW-1,2022-12-31,620.0
212,MOW-1,2023-12-31,620.0
213,MOW-1,2024-12-31,620.0
214,MOW-1,2025-12-31,620.0
215,430 Barber West,2012-12-31,71.29099239690696
216,430 Barber West,2013-12-31,70.93542972515117
217,430 Barber West,2014-12-31,71.26111756243023
218,430 Barber West,2015-12-31,71.55572904152199
219,430 Barber West,2016-12-31,71.49276922953658
220,MW-51,2021-12-31,0.5
221,MW-51,2022-12-31,0.5
222,MW-51,2023-12-31,0.5
223,MW-51,2024-12-31,0.5
224,MW-51,2025-12-31,0.5
225,MW-3d,2011-12-31,0.5
226,MW-3d,2012-12-31,0.5
227,MW-3d,2013-12-31,0.5
228,MW-3d,2014-12-31,0.5
229,MW-3d,2015-12-31,0.5
230,2690 Dexter Rd,2013-12-31,986.920833298245
231,2690 Dexter Rd,2014-12-31,1774.0893688023723
232,2690 Dexter Rd,2015-12-31,2571.0056065123817
233,2690 Dexter Rd,2016-12-31,3371.169546428274
234,2690 Dexter Rd,2017-12-31,4102.914521883382
235,TW-22,2021-12-31,487.2368486545798
236,TW-22,2022-12-31,469.4145893828875
237,TW-22,2023-12-31,452.4404180637027
238,TW-22,2024-12-31,434.3918289790629
239,TW-22,2025-12-31,417.1913278469305
240,MW-30d,2021-12-31,170.0358710856025
241,MW-30d,2022-12-31,170.87099041283233
242,MW-30d,2023-12-31,171.70610974006215
243,MW-30d,2024-12-31,172.541229067292
244,MW-30d,2025-12-31,173.3763483945218
245,3249 Dexter Rd,2012-12-31,0.5
246,3249 Dexter Rd,2013-12-31,0.5
247,3249 Dexter Rd,2014-12-31,0.5
248,3249 Dexter Rd,2015-12-31,0.5
249,3249 Dexter Rd,2016-12-31,0.5
250,697 South Wagner Rd,2021-12-31,0.5
251,697 South Wagner Rd,2022-12-31,0.5
252,697 South Wagner Rd,2023-12-31,0.5
253,697 South Wagner Rd,2024-12-31,0.5
254,697 South Wagner Rd,2025-12-31,0.5
255,MW-79d,2021-12-31,0.5
256,MW-79d,2022-12-31,0.5
257,MW-79d,2023-12-31,0.5
258,MW-79d,2024-12-31,0.5
259,MW-79d,2025-12-31,0.5
260,MW-69,2021-12-31,0.5
261,MW-69,2022-12-31,0.5
262,MW-69,2023-12-31,0.5
263,MW-69,2024-12-31,0.5
264,MW-69,2025-12-31,0.5
265,435 Barber,2013-12-31,6.498925873980456
266,435 Barber,2014-12-31,1.836316655003717
267,435 Barber,2015-12-31,0.0
268,435 Barber,2016-12-31,0.0
269,435 Barber,2017-12-31,0.0
270,MW-59s,2021-12-31,0.5
271,MW-59s,2022-12-31,0.5
272,MW-59s,2023-12-31,0.5
273,MW-59s,2024-12-31,0.5
274,MW-59s,2025-12-31,0.5
275,MW-35,2021-12-31,1.2985974462422365
276,MW-35,2022-12-31,0.2861031335395458
277,MW-35,2023-12-31,0.0
278,MW-35,2024-12-31,0.0
279,MW-35,2025-12-31,0.0
280,MW-10s,2011-12-31,8.25
281,MW-10s,2012-12-31,8.25
282,MW-10s,2013-12-31,8.25
283,MW-10s,2014-12-31,8.25
284,MW-10s,2015-12-31,8.25
285,MW-105s,2021-12-31,445.12141757278096
286,MW-105s,2022-12-31,455.4549316014701
287,MW-105s,2023-12-31,314.16053869960706
288,MW-105s,2024-12-31,320.82720536627374
289,MW-105s,2025-12-31,327.4938720329404
290,DOLPH,2021-12-31,158.42408296157157
291,DOLPH,2022-12-31,158.77816838074668
292,DOLPH,2023-12-31,159.13225379992178
293,DOLPH,2024-12-31,159.48730931613574
294,DOLPH,2025-12-31,159.84139473531084
295,NMW-3d,2021-12-31,
296,NMW-3d,2022-12-31,
297,NMW-3d,2023-12-31,
298,NMW-3d,2024-12-31,
299,NMW-3d,2025-12-31,
300,MW-39d,2021-12-31,11.29323709166664
301,MW-39d,2022-12-31,5.415673253446556
302,MW-39d,2023-12-31,3.032647406618196
303,MW-39d,2024-12-31,4.225451155907166
304,MW-39d,2025-12-31,7.641031129137019
305,MW-32,2021-12-31,19.45037327292629
306,MW-32,2022-12-31,19.899617194447835
307,MW-32,2023-12-31,20.348861115969385
308,MW-32,2024-12-31,20.79810503749093
309,MW-32,2025-12-31,21.24734895901248
310,MW-103d,2021-12-31,7.350041409845421
311,MW-103d,2022-12-31,6.690124548268916
312,MW-103d,2023-12-31,6.020249415270484
313,MW-103d,2024-12-31,5.340388727914722
314,MW-103d,2025-12-31,4.650569769137036
315,MW-101,2021-12-31,75.1875
316,MW-101,2022-12-31,57.375
317,MW-101,2023-12-31,39.5625
318,MW-101,2024-12-31,21.75
319,MW-101,2025-12-31,3.9375
320,440 Clarendon,2006-12-31,308.29540026014047
321,440 Clarendon,2007-12-31,354.9138490701954
322,440 Clarendon,2008-12-31,405.3669124606034
323,440 Clarendon,2009-12-31,459.3059398062564
324,440 Clarendon,2010-12-31,516.7931374868581
325,110 Parkland Plaza,2021-12-31,0.5819685845784712
326,110 Parkland Plaza,2022-12-31,0.2707216143222931
327,110 Parkland Plaza,2023-12-31,0.0
328,110 Parkland Plaza,2024-12-31,0.0
329,110 Parkland Plaza,2025-12-31,0.0
330,TW-5,2021-12-31,48.321833679565145
331,TW-5,2022-12-31,48.321833679565145
332,TW-5,2023-12-31,48.321833679565145
333,TW-5,2024-12-31,48.321833679565145
334,TW-5,2025-12-31,48.321833679565145
335,MW-99d,2021-12-31,0.5
336,MW-99d,2022-12-31,0.5
337,MW-99d,2023-12-31,0.5
338,MW-99d,2024-12-31,0.5
339,MW-99d,2025-12-31,0.5
340,MW-76s,2021-12-31,345.61827146052985
341,MW-76s,2022-12-31,354.11827146053
342,MW-76s,2023-12-31,372.59945038395057
343,MW-76s,2024-12-31,375.61827146052985
344,MW-76s,2025-12-31,336.61827146052985
345,MW-57,2021-12-31,2.9750000000000005
346,MW-57,2022-12-31,2.9750000000000005
347,MW-57,2023-12-31,2.9750000000000005
348,MW-57,2024-12-31,2.9750000000000005
349,MW-57,2025-12-31,2.9750000000000005
350,MW-120s,2021-12-31,0.5000001148891524
351,MW-120s,2022-12-31,0.4999999999989171
352,MW-120s,2023-12-31,0.4999999999983778
353,MW-120s,2024-12-31,0.4999999999978385
354,MW-120s,2025-12-31,6.9999999999973
355,MW-68,2021-12-31,0.5
356,MW-68,2022-12-31,0.5
357,MW-68,2023-12-31,0.5
358,MW-68,2024-12-31,0.5
359,MW-68,2025-12-31,0.5
360,MW-129i,2021-12-31,1.7986775554878882
361,MW-129i,2022-12-31,1.7234765300906203
362,MW-129i,2023-12-31,1.6507356993419229
363,MW-129i,2024-12-31,1.5801850048317765
364,MW-129i,2025-12-31,1.5121319431894849
365,MW-50,2021-12-31,812.1217538123533
366,MW-50,2022-12-31,828.5122632354398
367,MW-50,2023-12-31,844.9027726585264
368,MW-50,2024-12-31,861.3381875868816
369,MW-50,2025-12-31,877.7286970099682
370,MW-92,2021-12-31,71.12780479498582
371,MW-92,2022-12-31,80.96915470107999
372,MW-92,2023-12-31,91.52404971828253
373,MW-92,2024-12-31,102.794444764706
374,MW-92,2025-12-31,114.77838492223788
375,MW-66,2021-12-31,1.856119471989881
376,MW-66,2022-12-31,1.882182214580251
377,MW-66,2023-12-31,1.9082449571706208
378,MW-66,2024-12-31,1.9343791045352112
379,MW-66,2025-12-31,1.960441847125581
380,MW-126d,2021-12-31,0.5
381,MW-126d,2022-12-31,0.5
382,MW-126d,2023-12-31,0.5
383,MW-126d,2024-12-31,0.5
384,MW-126d,2025-12-31,0.5
385,TW-15,2014-12-31,207.12401136158735
386,TW-15,2015-12-31,220.47466521132705
387,TW-15,2016-12-31,237.9890267556881
388,TW-15,2017-12-31,252.08109878938916
389,TW-15,2018-12-31,272.47237721660747
390,MW-95,2021-12-31,22.338891017699
391,MW-95,2022-12-31,25.081615170397743
392,MW-95,2023-12-31,28.307397575023284
393,MW-95,2024-12-31,32.11363437746617
394,MW-95,2025-12-31,36.618993976227095
395,MW-53s,2021-12-31,0.4999307445358691
396,MW-53s,2022-12-31,0.4998614890717383
397,MW-53s,2023-12-31,0.4997922336076075
398,MW-53s,2024-12-31,0.499722788402479
399,MW-53s,2025-12-31,0.4996535329383482
400,TW-12,2020-12-31,17.095811848802903
401,TW-12,2021-12-31,16.756776362586333
402,TW-12,2022-12-31,16.46001620993887
403,TW-12,2023-12-31,16.199269815873443
404,TW-12,2024-12-31,15.969399320566565
405,MW-88,2021-12-31,237.09005912509176
406,MW-88,2022-12-31,295.0530413583023
407,MW-88,2023-12-31,356.4134283070971
408,MW-88,2024-12-31,415.0536861031148
409,MW-88,2025-12-31,82.1380392263157
410,MW-43,2016-12-31,0.5000000000000009
411,MW-43,2017-12-31,0.5000000000000009
412,MW-43,2018-12-31,0.5000000000000009
413,MW-43,2019-12-31,0.5000000000000009
414,MW-43,2020-12-31,0.5000000000000009
415,MW-72s,2021-12-31,0.0
416,MW-72s,2022-12-31,0.0
417,MW-72s,2023-12-31,0.0
418,MW-72s,2024-12-31,0.0
419,MW-72s,2025-12-31,0.0
420,NMW-1s,2021-12-31,2000.0
421,NMW-1s,2022-12-31,2000.0
422,NMW-1s,2023-12-31,2000.0
423,NMW-1s,2024-12-31,2000.0
424,NMW-1s,2025-12-31,2000.0
425,MW-12d,2011-12-31,0.5
426,MW-12d,2012-12-31,0.5
427,MW-12d,2013-12-31,0.5
428,MW-12d,2014-12-31,0.5
429,MW-12d,2015-12-31,0.5
430,MW-8s,2000-12-31,1.4229535839910554
431,MW-8s,2001-12-31,1.2439123259187552
432,MW-8s,2002-12-31,1.0825105766713792
433,MW-8s,2003-12-31,1.4017304725110151
434,MW-8s,2004-12-31,0.5079543898389004
435,ARTESIAN #3,2021-12-31,7.999999999999998
436,ARTESIAN #3,2022-12-31,6.899999999999997
437,ARTESIAN #3,2023-12-31,5.799999999999995
438,ARTESIAN #3,2024-12-31,4.699999999999994
439,ARTESIAN #3,2025-12-31,3.5999999999999925
440,MW-44,2017-12-31,0.4805029511360406
441,MW-44,2018-12-31,0.4803195637370763
442,MW-44,2019-12-31,0.480136176338112
443,MW-44,2020-12-31,0.4799535260123784
444,MW-44,2021-12-31,0.4797701386134141
445,MW-128d,2021-12-31,0.5
446,MW-128d,2022-12-31,0.5
447,MW-128d,2023-12-31,0.5
448,MW-128d,2024-12-31,0.5
449,MW-128d,2025-12-31,0.5
450,MW-86,2016-12-31,0.5000000000005627
451,MW-86,2017-12-31,0.5000000000005627
452,MW-86,2018-12-31,0.5000000000005627
453,MW-86,2019-12-31,0.5000000000005627
454,MW-86,2020-12-31,0.5000000000005627
455,LB-2,2007-12-31,763.8581939138509
456,LB-2,2008-12-31,767.4700694193504
457,LB-2,2009-12-31,846.8977983291607
458,LB-2,2010-12-31,874.9296382947376
459,LB-2,2011-12-31,884.5427885218795
460,MW-75,2021-12-31,0.0
461,MW-75,2022-12-31,0.0
462,MW-75,2023-12-31,0.0
463,MW-75,2024-12-31,0.0
464,MW-75,2025-12-31,0.0
465,MW-81,2021-12-31,391.4699587506117
466,MW-81,2022-12-31,217.743398168505
467,MW-81,2023-12-31,0.0
468,MW-81,2024-12-31,2208.651172626534
469,MW-81,2025-12-31,1629.3585976664976
470,MW-21,2005-12-31,0.5
471,MW-21,2006-12-31,0.5
472,MW-21,2007-12-31,0.5
473,MW-21,2008-12-31,0.5
